16,1.159176,1.201298,1.234714,1.084676,1.091248,1.092934,1.078367,1.080429,1.083260,1.084132,1.062010,
32,2.178862,2.093786,2.177262,2.101304,2.068472,2.072890,2.106720,2.055730,2.037765,2.124242,2.016640,
64,4.259025,4.240113,4.630580,4.599646,4.265412,4.376476,4.548511,4.255575,4.171067,4.217093,4.259031,
128,9.223247,8.575792,8.654187,8.721949,8.684064,8.734160,9.012563,9.103927,8.620019,8.883137,9.509588,
